	poa_global	module_temp	ambient_temp	Date	Month
2314	313.12909116141725	47.07996291809109	32.2	2020-06-29	6
2315	150.38745464437912	38.52856804381821	31.7	2020-06-29	6
2316	42.190444688480824	33.01572045045586	31.1	2020-06-29	6
2317	11.006202962212388	31.623017172691505	31.1	2020-06-29	6
2318	14.674937282949852	28.025216990840583	27.2	2020-06-30	6
2319	69.44741872066449	31.60007157111747	27.8	2020-06-30	6
2320	187.8632158084729	39.82238655156684	30.0	2020-06-30	6
2321	432.31855704632767	55.41060602520005	31.1	2020-06-30	6
2322	750.0662517075878	74.34264049083396	33.3	2020-06-30	6
2323	835.3501994076358	77.69368587045679	35.0	2020-06-30	6
2324	903.9915090931696	79.05787428655557	36.1	2020-06-30	6
2325	896.835314706849	81.50511242580046	36.7	2020-06-30	6
2326	860.7573139304232	73.7054877769841	37.2	2020-06-30	6
2327	728.6436703776865	74.70240413625052	38.3	2020-06-30	6
2328	589.5190672037986	66.91407504797507	38.9	2020-06-30	6
2329	376.12333862921844	57.268130371592406	38.9	2020-06-30	6
2330	172.49092437061555	46.61579168330352	37.8	2020-06-30	6
2331	53.196647650693215	40.518812979000415	37.8	2020-06-30	6
2332	21.095222344240412	37.75389896370205	36.7	2020-06-30	6
2333	4.585917900921829	30.25788030963768	30.0	2020-07-01	7
2334	58.00827703347298	33.032949892617836	30.0	2020-07-01	7
2335	113.50420572538145	36.81080111147382	30.6	2020-07-01	7
2336	229.9290227281605	43.72178793193069	31.7	2020-07-01	7
2337	332.9058465498677	48.019758660890986	32.2	2020-07-01	7
2338	370.36978229633905	52.82912834938245	33.9	2020-07-01	7
2339	1043.5274466329765	93.4606009877339	38.9	2020-07-01	7
2340	983.4251007708158	90.86160568250858	40.6	2020-07-01	7
2341	785.4700739394461	81.6681285195644	40.6	2020-07-01	7
2342	652.2418056199019	70.71601791339862	41.1	2020-07-01	7
2343	614.0376306836392	72.37678605569354	41.7	2020-07-01	7
2344	276.6409316986825	53.146037597575265	40.0	2020-07-01	7
2345	125.04825652669739	46.53812034420267	40.0	2020-07-01	7
2346	48.61072974977139	42.484432549776244	40.0	2020-07-01	7
2347	10.089019382028024	40.007409335140906	39.4	2020-07-01	7
2348	11.006202962212388	32.77545687959513	32.2	2020-07-02	7
2349	111.48015574687375	38.76283834260372	32.8	2020-07-02	7
2350	299.13411473666457	49.54016081093694	33.9	2020-07-02	7
2351	511.3503672100113	62.835840480570816	36.1	2020-07-02	7
2352	712.7314366341063	76.7997284289138	37.8	2020-07-02	7
2353	864.160102921115	85.18241922349841	40.0	2020-07-02	7
2354	947.1794554946007	89.52306765075063	40.0	2020-07-02	7
2355	978.3714736347926	87.59242647435516	41.1	2020-07-02	7
2356	919.0444805630348	86.47319478407911	42.8	2020-07-02	7
2357	791.9254010729666	78.15856116883151	42.2	2020-07-02	7
2358	613.5266062441248	71.95491855551913	42.8	2020-07-02	7
2359	354.3313964269365	59.25916760706562	42.8	2020-07-02	7
2360	145.18760249841742	48.94415845755352	42.2	2020-07-02	7
2361	45.85917900921829	43.135467200618564	41.1	2020-07-02	7
2362	8.254652221659292	37.603119170249265	37.2	2020-07-02	7
